MONTH,YEAR,BLACK,BLACKHISP,WHITEHISP,WHITE,ASIAN,TOTAL
January,2019,657,61,224,88,14,1050
February,2019,534,85,212,96,17,952
March,2019,777,97,263,110,53,1313
April,2019,816,100,271,146,22,1364
May,2019,825,135,225,140,21,1358
June,2019,724,130,276,109,19,1267
July,2019,743,111,243,92,24,1221
August,2019,634,98,227,105,24,1095
September,2019,594,95,212,93,35,1033
October,2019,650,60,212,77,21,1026
November,2019,525,87,197,84,28,925
December,2019,502,68,180,75,23,855
January,2018,504,80,217,89,28,923
February,2018,498,62,194,74,28,860
March,2018,569,90,258,114,17,1057
April,2018,522,71,191,107,14,912
May,2018,622,87,192,113,18,1039
June,2018,522,83,213,78,14,912
July,2018,521,96,199,84,18,928
August,2018,560,90,211,99,12,979
September,2018,558,91,166,88,24,937
October,2018,483,87,219,68,17,880
November,2018,453,76,170,83,16,803
December,2018,429,65,181,77,15,778
January,2017,587,84,243,96,36,1078
February,2017,572,90,269,87,17,1066
March,2017,612,88,235,84,19,1067
April,2017,599,83,260,107,18,1097
May,2017,532,92,222,85,25,974
June,2017,567,82,189,80,10,955
July,2017,537,82,194,64,14,909
August,2017,514,68,201,83,19,904
September,2017,473,79,181,70,9,832
October,2017,618,92,244,95,23,1098
November,2017,559,97,187,70,9,940
December,2017,425,60,145,56,7,709
